iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;EDGEitems;EDGE_buildings
BITCOAL;TRANSFER;;;;;;;
BITCOAL;TREFINER;;;;;;;
BITCOAL;TRNONSPE;;;;;;;
BITCOAL;WOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITUMEN;AUTOELEC;;;;;;;
BITUMEN;CHEMICAL;seliqfos;feli_chemicals;tdli_chemicals;1;;;
BITUMEN;COMMPUB;seliqfos;fehob;tdfoshob;1;;feserliquid;petrol
BITUMEN;CONSTRUC;seliqfos;feli_otherInd;tdli_otherInd;1;;;
BITUMEN;DISTLOSS;peoil;seliqfos;refliq;-1;;;
BITUMEN;ELAUTOC;;;;;;;
BITUMEN;ELAUTOE;peoil;seel;dot;1;;;
BITUMEN;ELMAINC;;;;;;;
BITUMEN;ELMAINE;peoil;seel;dot;1;;;
BITUMEN;ELOUTPUT;;;;;;;
BITUMEN;ENONSPEC;;;;;;;
BITUMEN;EOILGASEX;;;;;;;
