Country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
Benin,All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,291,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3,,0,.,13,,0,-,0,-
Bermuda,All,Export,Value (USD 1000),USD 1000,5678,,15810,,11496,,6700,F,7600,F,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,259,F,44,F,2,F,3,F,272,F,46,F,46,F,78,F,4,F,94,F,44,F,15,F,283,F,356,F,61,F,0,0,11,,43,,31,,22,,17,,25,,31,
Bermuda,All,Import,Value (USD 1000),USD 1000,3011,,2959,,3322,,3757,,4417,,5200,,5163,,6227,,6365,,6198,,6880,F,7717,,9175,F,8920,F,9794,,8525,,9780,,9320,,9250,F,7061,F,5677,F,7213,F,6381,F,7578,F,7049,F,8390,F,8210,F,8302,F,8435,F,12625,,13866,,13449,,11782,,10175,,8913,,9677,,11246,,13350,,12983,,11804,,14194,,16253,,16897,
Bhutan,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,377,,0,0,0,.,0,0,0,.,0,0,2,,0,.,3,F,0,.,1,F,0,.,0,.,0,-
Bhutan,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1939,,2041,,3081,,2293,,2461,,3182,,3613,,4664,,5078,F,5251,F,5129,F,5036,F,4999,F,6073,F
Bolivia (Plurinat.State),All,Export,Value (USD 1000),USD 1000,0,.,0,.,2,,0,.,0,.,0,.,0,.,12,,18,,11,,52,,80,,58,,82,,97,,477,,282,,341,,138,,182,,4,,130,,122,,7,,24,,35,,3,,22,F,1,,1,,0,0,14,,49,,18,,0,0,0,.,0,.,0,0,0,-,0,-,0,-,0,-,0,-
Bolivia (Plurinat.State),All,Import,Value (USD 1000),USD 1000,2062,,2733,,3804,,4143,,4724,,6321,,1423,,1133,,1860,,2616,,1151,,2280,,472,,2137,,420,,366,,612,,1481,,2814,,1673,,2580,,2984,,4764,,2957,,9193,,5527,,5471,,3587,,2640,,3343,,4862,,5354,,10062,,10321,,10020,,17848,,16529,,18164,,19056,,21960,,19516,,22404,,22383,
Bolivia (Plurinat.State),All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,31,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Bosnia and Herzegovina,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,113,F,89,F,431,F,1227,,5403,,6100,,7802,,7919,,10736,,10975,,9946,,10403,,9063,,8338,,6873,,7753,,8062,,7120,,7262,
Bosnia and Herzegovina,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,436,F,4630,F,541,F,2942,F,693,F,5391,F,3496,F,9788,F,11562,F,15668,F,19899,F,20238,,22969,,32425,,30551,,34218,,39693,,36697,,33756,,34421,,35194,,35814,,39660,,32293,,36175,,35892,,41927,
