,LUH_orginal,ProductionItem,FAOItemCode,MAGsho,kcr,LUH2MAg,LUH2kcr,Cropgroup
115,c3per,"603|Fruit, tropical fresh nes",603,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
116,c3per,"619|Fruit, fresh nes",619,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
117,c3per,"656|Coffee, green",656,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
118,c3per,"661|Cocoa, beans",661,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
119,c3per,667|Tea,667,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
120,c3per,671|Mate,671,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
121,c3per,687|Pepper (piper spp),687,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
122,c3per,692|Vanilla,692,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
123,c3per,693|Cinnamon (canella),693,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
124,c3per,698|Cloves,698,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
125,c3per,"702|Nutmeg, mace and cardamoms",702,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
126,c3per,249|Coconuts,249,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
127,c3per,260|Olives,260,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
128,c3per,263|Karite nuts (sheanuts),263,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
129,c3per,275|Tung nuts,275,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
130,c3per,277|Jojoba seed,277,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
131,c3per,305|Tallowtree seed,305,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
132,c3per,310|Kapok fruit,310,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
133,c3per,311|Kapokseed in shell,311,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
134,c3per,339|Oilseeds nes,339,c3a,rapeseed,c3per.MAGc3a,c3per.rapeseed,Other oil crops (incl rapeseed)
135,c4ann,"636|Forage and silage, maize",636,c3a,foddr,c4ann.MAGc3a,c4ann.foddr,Forage
136,c4ann,"637|Forage and silage, sorghum",637,c3a,foddr,c4ann.MAGc3a,c4ann.foddr,Forage
137,c4ann,"446|Maize, green",446,c3a,others,c4ann.MAGc3a,c4ann.others,Fruits Vegetables Nuts
138,c4ann,68|Popcorn,68,c3a,tece,c4ann.MAGc3a,c4ann.tece,Temperate cereals
139,c3nfx,"640|Forage and silage, clover",640,c3a,foddr,c3nfx.MAGc3a,c3nfx.foddr,Forage
140,c3nfx,"641|Forage and silage, alfalfa",641,c3a,foddr,c3nfx.MAGc3a,c3nfx.foddr,Forage
141,c3nfx,"643|Forage and silage, legumes",643,c3a,foddr,c3nfx.MAGc3a,c3nfx.foddr,Forage
142,c3nfx,"414|Beans, green",414,c3a,others,c3nfx.MAGc3a,c3nfx.others,Fruits Vegetables Nuts
143,c3nfx,"417|Peas, green",417,c3a,others,c3nfx.MAGc3a,c3nfx.others,Fruits Vegetables Nuts
144,c3nfx,"420|Vegetables, leguminous nes",420,c3a,others,c3nfx.MAGc3a,c3nfx.others,Fruits Vegetables Nuts
145,c3nfx,423|String beans,423,c3a,others,c3nfx.MAGc3a,c3nfx.others,Fruits Vegetables Nuts
146,c3per,"254|Oil, palm fruit",254,c3p,oilpalm,c3per.MAGc3p,c3per.oilpalm,Oilpalms
147,c3per,254|Oil palm fruit,254,c3p,oilpalm,c3per.MAGc3p,c3per.oilpalm,Oilpalms
148,c4ann,56|Maize,56,c4a,maiz,c4ann.MAGc4a,c4ann.maiz,Maize
149,c4ann,79|Millet,79,c4a,trce,c4ann.MAGc4a,c4ann.trce,Tropical cereals
150,c4ann,83|Sorghum,83,c4a,trce,c4ann.MAGc4a,c4ann.trce,Tropical cereals
151,c4per,156|Sugar cane,156,c4p,sugr_cane,c4per.MAGc4p,c4per.sugr_cane,Sugar cane
152,c3nfx,"242|Groundnuts, with shell",242,cnf,groundnut,c3nfx.MAGcnf,c3nfx.groundnut,Groundnuts
153,c3nfx,"176|Beans, dry",176,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
154,c3nfx,"181|Broad beans, horse beans, dry",181,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
155,c3nfx,"187|Peas, dry",187,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
156,c3nfx,191|Chick peas,191,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
157,c3nfx,"195|Cow peas, dry",195,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
158,c3nfx,197|Pigeon peas,197,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
159,c3nfx,201|Lentils,201,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
160,c3nfx,203|Bambara beans,203,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
161,c3nfx,205|Vetches,205,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
162,c3nfx,210|Lupins,210,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
163,c3nfx,"211|Pulses, nes",211,cnf,puls_pro,c3nfx.MAGcnf,c3nfx.puls_pro,Pulses
164,c3nfx,236|Soybeans,236,cnf,soybean,c3nfx.MAGcnf,c3nfx.soybean,Soybean
165,c3ann,677|Hops,677,nul,others,c3ann.MAGnul,c3ann.others,Fruits Vegetables Nuts
166,c3ann,748|Peppermint,748,nul,others,c3ann.MAGnul,c3ann.others,Fruits Vegetables Nuts
